year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
1901,Soil Carbon,Tropical Premontane Wet,30144390.04630863,417245.7651077393,72.24612582592631,"Modified Decay, Turnover and Spinup parameters"
1901,Total Biomass,Tropical Dry,9833909.189805668,1142790.3822968823,8.605173216491897,"Modified Decay, Turnover and Spinup parameters"
1901,Total Biomass,Tropical Moist,26610169.933753446,608498.4096054054,43.73087836171899,"Modified Decay, Turnover and Spinup parameters"
1901,Total Biomass,Tropical Premontane Wet,18249925.614801347,417245.7651077393,43.73903138379112,"Modified Decay, Turnover and Spinup parameters"
1902,Deadwood,Tropical Dry,7916662.176373023,1142790.3822968823,6.927484076704782,"Modified Decay, Turnover and Spinup parameters"
1902,Deadwood,Tropical Moist,17303763.518929526,608498.4096054054,28.436826203293684,"Modified Decay, Turnover and Spinup parameters"
1902,Deadwood,Tropical Premontane Wet,13236148.921476353,417245.7651077393,31.722668097203034,"Modified Decay, Turnover and Spinup parameters"
1902,Litter,Tropical Dry,2231434.803196513,1142790.3822968823,1.952619516023206,"Modified Decay, Turnover and Spinup parameters"
1902,Litter,Tropical Moist,5537120.521685019,608498.4096054054,9.099646661814106,"Modified Decay, Turnover and Spinup parameters"
1902,Litter,Tropical Premontane Wet,4646592.248489302,417245.7651077393,11.136343702109187,"Modified Decay, Turnover and Spinup parameters"
1902,Soil Carbon,Tropical Dry,18351643.315194048,1142790.3822968823,16.05862597330341,"Modified Decay, Turnover and Spinup parameters"
1902,Soil Carbon,Tropical Moist,41726530.77384428,608498.4096054054,68.57294960048095,"Modified Decay, Turnover and Spinup parameters"
1902,Soil Carbon,Tropical Premontane Wet,30158976.617670216,417245.7651077393,72.28108500965301,"Modified Decay, Turnover and Spinup parameters"
1902,Total Biomass,Tropical Dry,9988043.566692807,1142790.3822968823,8.740048675084177,"Modified Decay, Turnover and Spinup parameters"
1902,Total Biomass,Tropical Moist,30095425.08861952,608498.4096054054,49.458510677350134,"Modified Decay, Turnover and Spinup parameters"
1902,Total Biomass,Tropical Premontane Wet,20631039.50551873,417245.7651077393,49.44577328470063,"Modified Decay, Turnover and Spinup parameters"
1903,Deadwood,Tropical Dry,7372924.393486231,1142790.3822968823,6.451685722684739,"Modified Decay, Turnover and Spinup parameters"
1903,Deadwood,Tropical Moist,16223714.5003379,608498.4096054054,26.661884804035125,"Modified Decay, Turnover and Spinup parameters"
1903,Deadwood,Tropical Premontane Wet,12468016.675279487,417245.7651077393,29.88170933756524,"Modified Decay, Turnover and Spinup parameters"
1903,Litter,Tropical Dry,2275691.2314257524,1142790.3822968823,1.991346152959272,"Modified Decay, Turnover and Spinup parameters"
1903,Litter,Tropical Moist,5633566.909064577,608498.4096054054,9.258145658454213,"Modified Decay, Turnover and Spinup parameters"
1903,Litter,Tropical Premontane Wet,4718510.762499499,417245.7651077393,11.308708576781138,"Modified Decay, Turnover and Spinup parameters"
1903,Soil Carbon,Tropical Dry,18373587.45200011,1142790.3822968823,16.077828214717062,"Modified Decay, Turnover and Spinup parameters"
1903,Soil Carbon,Tropical Moist,41737730.61110864,608498.4096054054,68.59135529733663,"Modified Decay, Turnover and Spinup parameters"
1903,Soil Carbon,Tropical Premontane Wet,30168668.98742473,417245.7651077393,72.3043144119982,"Modified Decay, Turnover and Spinup parameters"
1903,Total Biomass,Tropical Dry,10456647.093752056,1142790.3822968823,9.15010071465193,"Modified Decay, Turnover and Spinup parameters"
1903,Total Biomass,Tropical Moist,33461479.48725365,608498.4096054054,54.99024970164262,"Modified Decay, Turnover and Spinup parameters"
1903,Total Biomass,Tropical Premontane Wet,22938086.615653213,417245.7651077393,54.975001626991336,"Modified Decay, Turnover and Spinup parameters"
1904,Deadwood,Tropical Dry,6930357.838243019,1142790.3822968823,6.064417364375928,"Modified Decay, Turnover and Spinup parameters"
1904,Deadwood,Tropical Moist,15377342.470712785,608498.4096054054,25.270965754346953,"Modified Decay, Turnover and Spinup parameters"
1904,Deadwood,Tropical Premontane Wet,11853343.268803304,417245.7651077393,28.408540625313687,"Modified Decay, Turnover and Spinup parameters"
1904,Litter,Tropical Dry,2317330.117913088,1142790.3822968823,2.027782307071495,"Modified Decay, Turnover and Spinup parameters"
1904,Litter,Tropical Moist,5735394.86009628,608498.4096054054,9.425488661203778,"Modified Decay, Turnover and Spinup parameters"
1904,Litter,Tropical Premontane Wet,4795431.092972402,417245.7651077393,11.493061150025449,"Modified Decay, Turnover and Spinup parameters"
1904,Soil Carbon,Tropical Dry,18394775.879702196,1142790.3822968823,16.096369172035494,"Modified Decay, Turnover and Spinup parameters"
1904,Soil Carbon,Tropical Moist,41736139.07097292,608498.4096054054,68.58873977671965,"Modified Decay, Turnover and Spinup parameters"
1904,Soil Carbon,Tropical Premontane Wet,30172077.971350763,417245.7651077393,72.3124846181719,"Modified Decay, Turnover and Spinup parameters"
1904,Total Biomass,Tropical Dry,11401679.410691997,1142790.3822968823,9.97705229875656,"Modified Decay, Turnover and Spinup parameters"
1904,Total Biomass,Tropical Moist,36712409.96617105,608498.4096054054,60.33279526560808,"Modified Decay, Turnover and Spinup parameters"
1904,Total Biomass,Tropical Premontane Wet,25173370.86057445,417245.7651077393,60.332238133260134,"Modified Decay, Turnover and Spinup parameters"
1905,Deadwood,Tropical Dry,6565816.499804078,1142790.3822968823,5.745425059149966,"Modified Decay, Turnover and Spinup parameters"
1905,Deadwood,Tropical Moist,14697635.983020246,608498.4096054054,24.15394313446318,"Modified Decay, Turnover and Spinup parameters"
1905,Deadwood,Tropical Premontane Wet,11353554.292614404,417245.7651077393,27.21071186829839,"Modified Decay, Turnover and Spinup parameters"
1905,Litter,Tropical Dry,2366253.293530699,1142790.3822968823,2.0705925865203656,"Modified Decay, Turnover and Spinup parameters"
1905,Litter,Tropical Moist,5846206.008565294,608498.4096054054,9.607594557817166,"Modified Decay, Turnover and Spinup parameters"
1905,Litter,Tropical Premontane Wet,4879542.648615216,417245.7651077393,11.694648709868254,"Modified Decay, Turnover and Spinup parameters"
1905,Soil Carbon,Tropical Dry,18419128.992262885,1142790.3822968823,16.11767939037295,"Modified Decay, Turnover and Spinup parameters"
1905,Soil Carbon,Tropical Moist,41727670.25440215,608498.4096054054,68.57482221105788,"Modified Decay, Turnover and Spinup parameters"
1905,Soil Carbon,Tropical Premontane Wet,30170977.142714255,417245.7651077393,72.3098462962797,"Modified Decay, Turnover and Spinup parameters"
1905,Total Biomass,Tropical Dry,12962639.378612269,1142790.3822968823,11.342972061559353,"Modified Decay, Turnover and Spinup parameters"
1905,Total Biomass,Tropical Moist,39852153.92770677,608498.4096054054,65.492618055567,"Modified Decay, Turnover and Spinup parameters"
1905,Total Biomass,Tropical Premontane Wet,27339124.489384286,417245.7651077393,65.5228327657799,"Modified Decay, Turnover and Spinup parameters"
1906,Deadwood,Tropical Dry,6267426.720656578,1142790.3822968823,5.4843187497428385,"Modified Decay, Turnover and Spinup parameters"
1906,Deadwood,Tropical Moist,14141546.174302995,608498.4096054054,23.240070887733957,"Modified Decay, Turnover and Spinup parameters"
1906,Deadwood,Tropical Premontane Wet,10941977.004038287,417245.7651077393,26.224297330406458,"Modified Decay, Turnover and Spinup parameters"
1906,Litter,Tropical Dry,2431148.0698683253,1142790.3822968823,2.1273788330122154,"Modified Decay, Turnover and Spinup parameters"
1906,Litter,Tropical Moist,5967248.327812604,608498.4096054054,9.80651425479025,"Modified Decay, Turnover and Spinup parameters"
1906,Litter,Tropical Premontane Wet,4971621.651549139,417245.7651077393,11.915331603822006,"Modified Decay, Turnover and Spinup parameters"
1906,Soil Carbon,Tropical Dry,18450241.19169217,1142790.3822968823,16.14490415522156,"Modified Decay, Turnover and Spinup parameters"
1906,Soil Carbon,Tropical Moist,41716409.893547334,608498.4096054054,68.55631705035891,"Modified Decay, Turnover and Spinup parameters"
1906,Soil Carbon,Tropical Premontane Wet,30167408.02813773,417245.7651077393,72.30129230993641,"Modified Decay, Turnover and Spinup parameters"
1906,Total Biomass,Tropical Dry,15220683.986673832,1142790.3822968823,13.318876517040632,"Modified Decay, Turnover and Spinup parameters"
1906,Total Biomass,Tropical Moist,42884514.11424256,608498.4096054054,70.4759674590637,"Modified Decay, Turnover and Spinup parameters"
1906,Total Biomass,Tropical Premontane Wet,29437510.32423344,417245.7651077393,70.55196909340043,"Modified Decay, Turnover and Spinup parameters"
1907,Deadwood,Tropical Dry,6029769.667795809,1142790.3822968823,5.276356680283429,"Modified Decay, Turnover and Spinup parameters"
1907,Deadwood,Tropical Moist,13680772.485104999,608498.4096054054,22.48284016711992,"Modified Decay, Turnover and Spinup parameters"
1907,Deadwood,Tropical Premontane Wet,10599922.057396386,417245.7651077393,25.404504835799404,"Modified Decay, Turnover and Spinup parameters"
1907,Litter,Tropical Dry,2519270.319128814,1142790.3822968823,2.204490305619618,"Modified Decay, Turnover and Spinup parameters"
1907,Litter,Tropical Moist,6098621.316640577,608498.4096054054,10.022411267426921,"Modified Decay, Turnover and Spinup parameters"
1907,Litter,Tropical Premontane Wet,5071744.611669169,417245.7651077393,12.155293200781957,"Modified Decay, Turnover and Spinup parameters"
1907,Soil Carbon,Tropical Dry,18490401.81385689,1142790.3822968823,16.180046752487737,"Modified Decay, Turnover and Spinup parameters"
1907,Soil Carbon,Tropical Moist,41704901.83654678,608498.4096054054,68.53740482837296,"Modified Decay, Turnover and Spinup parameters"
1907,Soil Carbon,Tropical Premontane Wet,30162999.712469827,417245.7651077393,72.29072703633379,"Modified Decay, Turnover and Spinup parameters"
1907,Total Biomass,Tropical Dry,18194345.22829203,1142790.3822968823,15.9209821067302,"Modified Decay, Turnover and Spinup parameters"
1907,Total Biomass,Tropical Moist,45813163.21788255,608498.4096054054,75.28887914035985,"Modified Decay, Turnover and Spinup parameters"
1907,Total Biomass,Tropical Premontane Wet,31470623.90561206,417245.7651077393,75.42466943309984,"Modified Decay, Turnover and Spinup parameters"
1908,Deadwood,Tropical Dry,5850791.202143782,1142790.3822968823,5.119741374078016,"Modified Decay, Turnover and Spinup parameters"
1908,Deadwood,Tropical Moist,13296193.56561079,608498.4096054054,21.850827143875378,"Modified Decay, Turnover and Spinup parameters"
1908,Deadwood,Tropical Premontane Wet,10314085.414309103,417245.7651077393,24.719449007818802,"Modified Decay, Turnover and Spinup parameters"
1908,Litter,Tropical Dry,2636092.8848344116,1142790.3822968823,2.3067160221773624,"Modified Decay, Turnover and Spinup parameters"
1908,Litter,Tropical Moist,6239876.409038113,608498.4096054054,10.254548426978639,"Modified Decay, Turnover and Spinup parameters"
1908,Litter,Tropical Premontane Wet,5179645.54039549,417245.7651077393,12.413896014158526,"Modified Decay, Turnover and Spinup parameters"
1908,Soil Carbon,Tropical Dry,18540522.535293303,1142790.3822968823,16.223904945742458,"Modified Decay, Turnover and Spinup parameters"
1908,Soil Carbon,Tropical Moist,41694683.95506931,608498.4096054054,68.52061286751295,"Modified Decay, Turnover and Spinup parameters"
1908,Soil Carbon,Tropical Premontane Wet,30158918.01765124,417245.7651077393,72.28094456480281,"Modified Decay, Turnover and Spinup parameters"
1908,Total Biomass,Tropical Dry,21847316.769742444,1142790.3822968823,19.117518932765037,"Modified Decay, Turnover and Spinup parameters"
1908,Total Biomass,Tropical Moist,48641648.27462116,608498.4096054054,79.93718226176456,"Modified Decay, Turnover and Spinup parameters"
1908,Total Biomass,Tropical Premontane Wet,33440495.571810577,417245.7651077393,80.14579983376397,"Modified Decay, Turnover and Spinup parameters"
1909,Deadwood,Tropical Dry,5729849.914857181,1142790.3822968823,5.013911565602098,"Modified Decay, Turnover and Spinup parameters"
1909,Deadwood,Tropical Moist,12974476.175715892,608498.4096054054,21.322120108957204,"Modified Decay, Turnover and Spinup parameters"
